Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,,
01-12-2018,21.09224129,25.4279995,26.1590004,21.76099968,24.52000046,978162000
01-01-2019,22.48550606,26.82500076,27.375,23.03300095,24.88500023,749381000
01-02-2019,23.08149147,27.5359993,28.66300011,26.48900032,26.91500092,415092000
01-03-2019,25.20640182,30.07099915,30.32999992,25.92000008,27.77300072,726924000
01-04-2019,26.92764282,31.84000015,32.24499893,29.97500038,30.31100082,407661000
01-05-2019,21.28162956,25.16399956,32.31999969,25.00900078,32.04999924,642145000
01-06-2019,24.34481812,28.7859993,29.17499924,25.12000084,25.25499916,737100000
01-07-2019,24.76009178,28.99900055,30.57500076,27.24099922,30.16799927,520257000
01-08-2019,24.13252831,28.26399994,29.78199959,26.25,28.91300011,452777000
01-09-2019,23.57156754,27.60700035,30.2329998,27,28,516459000
01-10-2019,25.23437119,29.28499985,29.40800095,26.72200012,27.82699966,421659000
01-11-2019,27.24725914,31.62100029,32.56700134,29.20899963,29.29899979,407842000
01-12-2019,27.23088455,31.60199928,33.11999893,30.31299973,31.77199936,517592000
01-01-2020,26.56144905,30.51600075,33.15800095,29.87999916,31.93199921,585943000
01-02-2020,23.72913742,27.26199913,32.56999969,26.27400017,30.56299973,458786000
01-03-2020,20.63743401,23.70999908,28.84799957,15.56700039,27.6760006,1195556000
01-04-2020,24.04396248,27.16200066,27.6989994,21.96800041,22.79899979,619989000
01-05-2020,25.78339005,29.12700081,29.20000076,25.47500038,26.60000038,419535000
01-06-2020,27.93797684,31.56100082,32.81100082,28.73699951,29.04199982,652276000
01-07-2020,28.32775688,31.67499924,32.43299866,30.41799927,31.51099968,379233000
01-08-2020,31.04651642,34.71500015,35.05799866,31.72800064,31.79999924,310241000
01-09-2020,32.58206177,36.43199921,37.89599991,34.34799957,35,518809000
01-10-2020,31.55336952,34.96300125,38.77999878,34.44200134,36.89799881,337378000
01-11-2020,36.24175262,40.15800095,40.2159996,34.66600037,35.50400162,300997000
01-12-2020,39.51504135,43.78499985,43.84999847,39.81000137,40.34600067,401600000
01-01-2021,41.00310135,45.04999924,47,42.05400085,43.93299866,321317000
01-02-2021,42.76610565,46.98699951,49.51399994,45.35900116,45.58499908,317522000
01-03-2021,42.20088196,46.36600113,49.08599854,41.92599869,47.97000122,724725000
01-04-2021,41.84646606,45.61999893,48.9640007,44.90000153,47.20700073,405583000
01-05-2021,43.32603836,47.23300171,47.4620018,41.91400146,45.97499847,355018000
01-06-2021,43.73973465,47.68399811,47.85900116,45.84400177,47.54399872,377423000
01-07-2021,44.87346268,48.54000092,49.40200043,45.57099915,47.7840004,323364000
01-08-2021,45.96525192,49.72100067,50.78499985,46.26599884,48.90499878,264378000
01-09-2021,44.83000946,48.49300003,51.06999969,48.44800186,49.6269989,372981000
01-10-2021,49.51116943,53.16699982,53.60699844,47.27799988,48.78499985,341653000
01-11-2021,51.56081772,55.36800003,57.72100067,52.49300003,53.0340004,343703000
01-12-2021,61.9655571,66.54100037,67.77600098,54.40000153,56.34799957,602756000
01-01-2022,54.90843201,58.58800125,67.21900177,51.34000015,66.63200378,627019000
01-02-2022,55.05463409,58.74399948,61.4640007,54.90200043,58.5870018,451717000
01-03-2022,59.01334,62.9679985,64.53099823,56.36100006,58.47900009,552952000
01-04-2022,52.30853653,55.43899918,63.67200089,55.34000015,63.16899872,425646000
01-05-2022,54.73720169,58.01300049,60.90000153,51.24399948,55.7140007,609803000
01-06-2022,45.83779144,48.58100128,59.09400177,48.07099915,58.75799942,468282000
01-07-2022,50.94319534,53.54800034,53.78300095,46.39099884,47.94100189,394534000
01-08-2022,47.48310852,49.9109993,56.05599976,49.65399933,53.14300156,398705000
01-09-2022,42.24113846,44.40100098,53.12599945,44.36399841,49.14699936,573525000
01-10-2022,45.10015869,47.01200104,48.97000122,41.50699997,44.92399979,481500000
01-11-2022,52.86211014,55.10300064,55.16600037,44.13600159,47.58000183,460743000
01-12-2022,53.6391716,55.9129982,58.56499863,51.60499954,55.10300064,533563000
01-01-2023,56.59019852,58.50099945,60.16699982,54.99900055,56.5,445594000
01-02-2023,57.48789215,59.42900085,61.70100021,57.20999908,58.35699844,376142000
01-03-2023,62.05855942,64.15399933,64.84999847,58.61299896,59.40000153,602645000
01-04-2023,61.03987885,62.65000153,64.4240036,60.32300186,63.90000153,313005000
01-05-2023,78.71951294,80.79599762,92.1780014,60.12900162,62.65000153,702882000
01-06-2023,84.5136795,86.74299622,88.99500275,77.63800049,80.06199646,737363000
01-07-2023,88.02190399,89.86499786,92.31800079,84.43299866,86.86199951,489146000
01-08-2023,90.39619446,92.28900146,92.36699677,81.19999695,89.89800262,503589000
01-09-2023,81.35450745,83.05799866,90.18699646,79.50900269,90.18699646,480275000
01-10-2023,82.86022186,84.13700104,92.59100342,80.89099884,82.90599823,462210000
01-11-2023,91.16820526,92.57299805,99.98699951,83.55699921,84.19999695,605942000
01-12-2023,109.9310989,111.625,115.1819992,90.30999756,92.2460022,925405000
